Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2. Web - Detail Pengajuan,Chrome 103.0.5060.114,,,2022-07-15 17:06:47,2022-07-15 17:08:06,1m - 19.471s,FAILED
,,,,,,,
Test Cases/api,Chrome 103.0.5060.114,,,2022-07-15 17:06:48,2022-07-15 17:06:51,3.945s,PASSED
"request = sendRequest(findTestObject(""get request id"", [""nik"":nik]))",Chrome 103.0.5060.114,,,2022-07-15 17:06:49,2022-07-15 17:06:51,2.551s,PASSED
slurper = new groovy.json.JsonSlurper(),Chrome 103.0.5060.114,store json response to variable,,2022-07-15 17:06:51,2022-07-15 17:06:51,0.024s,PASSED
get_token = slurper.parseText(request.getResponseBodyContent()),Chrome 103.0.5060.114,,,2022-07-15 17:06:51,2022-07-15 17:06:51,0.044s,PASSED
req_id = requestId,Chrome 103.0.5060.114,define / field api,,2022-07-15 17:06:51,2022-07-15 17:06:51,0.027s,PASSED
request_id = req_id,Chrome 103.0.5060.114,store var to global variable,,2022-07-15 17:06:51,2022-07-15 17:06:51,0.169s,PASSED
"println(""token is :"" + request_id)",Chrome 103.0.5060.114,,,2022-07-15 17:06:51,2022-07-15 17:06:51,0.007s,PASSED
response_token = request.getResponseText(),Chrome 103.0.5060.114,show response to report in test suite,,2022-07-15 17:06:51,2022-07-15 17:06:51,0.002s,PASSED
logInfo($response_token),Chrome 103.0.5060.114,,,2022-07-15 17:06:51,2022-07-15 17:06:51,0.104s,PASSED
,,,,,,,
Test Cases/web,Chrome 103.0.5060.114,,,2022-07-15 17:06:51,2022-07-15 17:08:06,1m - 15.025s,FAILED
robot = new java.awt.Robot(),Chrome 103.0.5060.114,,,2022-07-15 17:06:52,2022-07-15 17:06:52,0.151s,PASSED
userDir = getProjectDir(),Chrome 103.0.5060.114,,,2022-07-15 17:06:52,2022-07-15 17:06:52,0.002s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-15 17:06:52,2022-07-15 17:06:55,2.773s,PASSED
"navigateToUrl(""https://tracking.idofocus.co.id:25443/status-pengajuan?request_id="" + request_id)",Chrome 103.0.5060.114,,,2022-07-15 17:06:55,2022-07-15 17:06:56,1.039s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-15 17:06:56,2022-07-15 17:07:01,5.076s,PASSED
"comment(""Verifikasi Element untuk cek setiap object yang muncul"")",Chrome 103.0.5060.114,,,2022-07-15 17:07:01,2022-07-15 17:07:01,0.058s,PASSED
"verifyElementPresent(findTestObject(""Verify2/3.3 Status Pengajuan Terbaru""), 0, STOP_ON_FAILURE)",Chrome 103.0.5060.114,Verifikasi List Data Tracking,,2022-07-15 17:07:01,2022-07-15 17:07:02,0.490s,PASSED
